Carimbo de data/hora,"Esta pesquisa manterá todas as respostas em anonimato, garantindo a privacidade dos respondentes. Apenas resultados consolidados, como médias, de todos os respondentes serão divulgados.

Nenhuma informação pessoal sua será divulgada. Ao responder a este formulário, você dá seu consentimento livre e esclarecido para participar da pesquisa. O link para o Termo de Consentimento Livre e Esclarecido completo para esta pesquisa: TCLE.  Clique em “Aceito os termos de consentimento” para responder ao questionário.",Você trabalha ou já trabalhou na área de tecnologia?,Qual a sua faixa etária?,Quais destes modelos de trabalho você já experienciou?,"Qual é o seu modelo de trabalho atual? Se você trabalha em mais de um modelo, marque o principal e o considere como ""modelo de trabalho atual"" nas próximas perguntas.",Há quanto tempo você utiliza o seu modelo de trabalho atual? ,Como você classifica a influência do seu modelo de trabalho atual na sua performance?,Quais são as principais vantagens do seu modelo de trabalho atual?,Quais são as principais desvantagens do seu modelo de trabalho atual?,Qual modelo de trabalho você considera melhor?,"Com base no seu modelo de trabalho atual, há alguma experiência que você gostaria de compartilhar para contribuir com nossa pesquisa?  "
11/05/2023 10:02:39,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Dificuldade em manter o foco,Híbrido (presencial e remoto),
11/05/2023 10:03:21,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Há 1 ano ou menos,3,"Mais tempo livre, Mais conforto, Maior concentração, Maior produtividade","Falta de supervisão direta, Dificuldade em manter o foco, Falta de motivação",Remoto,
11/05/2023 10:09:05,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Falta de motivação, Esgotamento mental ou físico",Híbrido (presencial e remoto),
11/05/2023 10:12:38,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior satisfação, Maior concentração, Maior produtividade",Custos adicionais,Híbrido (presencial e remoto),
11/05/2023 10:24:08,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Necessidades maiores de infraestrutura (computador, internet e energia)",Remoto,
11/05/2023 13:02:54,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Entre 1 e 3 anos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Falta de supervisão direta",Híbrido (presencial e remoto),
11/05/2023 13:19:31,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco",Remoto,
11/05/2023 14:06:32,Aceito os termos de consentimento,Sim,18 - 25 anos,"Remoto, Híbrido (presencial e remoto)",Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais conforto, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional",Remoto,
11/05/2023 20:04:22,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais conforto, Maior satisfação","Dificuldade em manter o foco, Esgotamento mental ou físico, Custos adicionais",Não tenho preferência,
11/05/2023 20:12:44,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Presencial,Há 1 ano ou menos,3,"Comunicação mais efetiva, Maior concentração","Dificuldade em manter o foco, Esgotamento mental ou físico",Não tenho preferência,
